Lot #,Specimen Number,SL,LL,PLL,TV,CPD,Lip Tip,Scaled Opercle,Anterior dorsal spot
UMMZ 131245,3,58,58,-,15,19,-,n,-
UMMZ 156251,1,66.5,54,54,15,20,n,n,y
UT 91.192,3,43.8,56,56,15,20,n,n,
TU 188875,5,55.0,59,58,15,23,n,n,y
TU 188875,9,57.0,55,53,16,20,n,n,y
TU 191493,3,86.5,58,58,16,20,n,n,y
TU 191493,1,79.5,58,57,16,21,n,n,y
UMMZ 156280,3,60.0,58,58,16,21,n,n,y
UT 91.3506,2,63.5,59,59,16,21,n,n,
UT 91.192,2,55.5,61,61,16,21,n,n,
TU 188875,7,54.5,57,55,16,22,n,n,y
UT 91.3506,3,46.5,59,56,16,22,n,n,
UT 91.682,2,62.5,59,58,16,22,n,n,
TU 190421,1,43.5,60,60,16,22,n,n,-
UT 91.5540,3,67.2,58,58,16,23,n,n,y
TU 191493,5,80.5,57,57,16,24,n,n,y
UT 91.4986,1,57.5,59,59,17,20,n,n,y
UMMZ 131245,5,59,59,-,17,20,-,n,-
UT 91.4150,2,93.5,63,61,17,20,n,n,y
UMMZ 156280,4,56.2,52,52,17,21,n,n,y
TU 190427,11,44.6,55,54,17,21,n,n,y
UMMZ 156280,6,49.5,55,55,17,21,n,n,? (faded)
UT 91.4150,6,77.0,59,59,17,21,n,n,y
UT 91.3506,1,67.0,60,55,17,21,n,n,
UMMZ 156280,8,45.2,60,60,17,21,n,n,? (faded)
TU 191493,6,72.5,52,62,17,22,n,n,y
UMMZ 156251,2,65.0,53,53,17,22,n,n,y
TU 191493,4,83.0,54,53,17,22,n,n,y
UT 91.5540,1,47.0,55,55,17,22,n,n,y
TU 188875,8,49.0,56,56,17,22,n,n,y
UMMZ 131245,2,61,57,-,17,22,-,n,-
UMMZ 131245,4,50,58,-,17,22,-,n,-
TU 190427,2,73.5,61,60,17,22,n,n,n
TU 188875,3,65.0,55,55,17,23,n,n,y
TU 188875,6,51.0,57,57,17,23,n,n,y
UT 91.5540,2,78.0,57,57,17,23,n,n,y
UMMZ 156251,3,49.5,58,58,17,23,n,n,y
UT 91.682,1,73.0,60,59,17,23,n,n,
UMMZ 131245,1,56,62,-,17,23,-,n,-
UT 91.192,1,66.8,58,58,17,24,n,n,
TU 191493,8,47.0,54,54,18,20,n,n,y
UMMZ 156280,5,52.5,56,56,18,20,n,n,y
UMMZ 156280,2,65.2,57,57,18,20,n,n,y
TU 188875,1,80.0,60,58,18,20,n,n,y
TU 188875,4,54.5,54,53,18,21,n,n,y
TU 190427,8,46.0,56,56,18,21,n,n,y
TU 191493,2,78.5,57,57,18,21,n,n,y
TU 188875,11,45.2,59,59,18,21,n,n,y
TU 188875,2,66.5,61,60,18,21,n,n,y
UT 91.4150,8,67.1,61,60,18,21,n,n,y
UT 91.5540,1,70.0,53,53,18,22,n,n,y
TU 190427,6,63.0,56,56,18,22,n,n,y
TU 190427,12,44.0,56,56,18,22,n,n,y
TU 191493,7,61.0,57,56,18,22,n,n,y
KRP 26-00,1,72.5,57,57,18,22,n,n,y
TU 190427,10,45.5,57,56,18,22,n,n,y
UT 91.4986,2,72.5,57,57,18,22,n,n,y
UMMZ 156280,1,79.7,58,58,18,22,n,n,y
TU 190421,2,56.0,50,50,18,23,n,n,y
UT 91.4150,10,56.5,56,56,18,23,n,n,n
UT 91.4150,5,76.0,63,63,18,23,n,n,y
UT 91.5540,4,58.1,58,58,18,24,n,n,y
TU 190427,5,67.0,63,63,19,20,n,n,y
TU 190427,1,66.0,55,55,19,21,n,n,n
KRP 26-00,2,85.0,62,61,19,21,n,n,y
UT 91.4150,4,77.0,56,55,19,22,n,n,y
TU 190427,13,42.0,56,55,19,22,n,n,y
UMMZ 156280,7,48.2,58,58,19,22,n,n,y
UT 91.5540,2,77.0,59,59,19,22,n,n,y
UT 91.4150,1,80.0,62,60,19,22,n,n,y
TU 190427,9,47.0,55,55,19,23,n,n,y
UT 91.4150,9,65.0,59,59,19,23,n,n,n
TU 190427,7,51.0,60,60,19,23,n,n,y
UT 91.4150,3,70.5,61,61,19,23,n,n,y
TU 190427,3,74.4,54,54,20,21,n,n,n
TU 190427,4,56.5,62,62,20,22,n,n,n
UT 91.4150,7,79.8,61,61,20,24,n,n,y
YPM 21727,,67.3,57,,18,21,n,n,-
